experiment_id,timestamp,seed,parameter,parameter_value,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,computational_time,data_source
sensitivity_42_30_proportional_w_throughput_0.5_45,2026-09-01T11:49:21.194566,45,w_throughput,0.5,30,proportional,100.0,100.0,100.0,0.7845,-0.9663,11.81,3.44,6e-05,SIMULATION
sensitivity_42_30_proportional_w_throughput_0.5_46,2026-09-01T11:49:21.194770,46,w_throughput,0.5,30,proportional,100.0,100.0,100.0,0.834,-1.000497,20.44,3.0,6.2e-05,SIMULATION
sensitivity_42_30_priority_w_throughput_0.5_42,2026-09-01T11:49:21.194987,42,w_throughput,0.5,30,priority,100.0,100.0,100.0,0.9351,-0.948013,16.95,1.13,6.3e-05,SIMULATION
sensitivity_42_30_priority_w_throughput_0.5_43,2026-09-01T11:49:21.195202,43,w_throughput,0.5,30,priority,100.0,100.0,100.0,0.9312,-0.926103,8.54,4.48,6.3e-05,SIMULATION
sensitivity_42_30_priority_w_throughput_0.5_44,2026-09-01T11:49:21.195416,44,w_throughput,0.5,30,priority,100.0,100.0,100.0,0.9408,-0.951981,13.72,3.71,6.3e-05,SIMULATION
sensitivity_42_30_priority_w_throughput_0.5_45,2026-09-01T11:49:21.195647,45,w_throughput,0.5,30,priority,100.0,100.0,100.0,0.9403,-0.952995,11.81,3.44,7.8e-05,SIMULATION
sensitivity_42_30_priority_w_throughput_0.5_46,2026-09-01T11:49:21.195864,46,w_throughput,0.5,30,priority,100.0,100.0,100.0,0.9376,-1.018042,20.44,3.0,6.5e-05,SIMULATION
sensitivity_42_30_max_min_fairness_w_throughput_0.5_42,2026-09-01T11:49:21.196080,42,w_throughput,0.5,30,max_min_fairness,100.0,100.0,100.0,0.9929,-0.925312,16.95,1.13,6.5e-05,SIMULATION
sensitivity_42_30_max_min_fairness_w_throughput_0.5_43,2026-09-01T11:49:21.196293,43,w_throughput,0.5,30,max_min_fairness,100.0,100.0,100.0,0.9989,-0.908961,8.54,4.48,6.4e-05,SIMULATION
sensitivity_42_30_max_min_fairness_w_throughput_0.5_44,2026-09-01T11:49:21.196504,44,w_throughput,0.5,30,max_min_fairness,100.0,100.0,100.0,0.9991,-0.928413,13.72,3.71,6.3e-05,SIMULATION
sensitivity_42_30_max_min_fairness_w_throughput_0.5_45,2026-09-01T11:49:21.196733,45,w_throughput,0.5,30,max_min_fairness,100.0,100.0,100.0,0.9956,-0.928885,11.81,3.44,6.5e-05,SIMULATION
sensitivity_42_30_max_min_fairness_w_throughput_0.5_46,2026-09-01T11:49:21.196957,46,w_throughput,0.5,30,max_min_fairness,100.0,100.0,100.0,0.9963,-0.984678,20.44,3.0,6.6e-05,SIMULATION
sensitivity_42_30_alpha_fair_w_throughput_0.5_42,2026-09-01T11:49:21.197166,42,w_throughput,0.5,30,alpha_fair,100.0,100.0,100.0,0.8041,-0.951241,16.95,1.13,6.6e-05,SIMULATION
sensitivity_42_30_alpha_fair_w_throughput_0.5_43,2026-09-01T11:49:21.197371,43,w_throughput,0.5,30,alpha_fair,100.0,100.0,100.0,0.8005,-0.936516,8.54,4.48,6.6e-05,SIMULATION
sensitivity_42_30_alpha_fair_w_throughput_0.5_44,2026-09-01T11:49:21.197581,44,w_throughput,0.5,30,alpha_fair,100.0,100.0,100.0,0.7492,-0.968396,13.72,3.71,6.6e-05,SIMULATION
sensitivity_42_30_alpha_fair_w_throughput_0.5_45,2026-09-01T11:49:21.197811,45,w_throughput,0.5,30,alpha_fair,100.0,100.0,100.0,0.7845,-0.9663,11.81,3.44,6.8e-05,SIMULATION
sensitivity_42_30_alpha_fair_w_throughput_0.5_46,2026-09-01T11:49:21.198022,46,w_throughput,0.5,30,alpha_fair,100.0,100.0,100.0,0.834,-1.000497,20.44,3.0,6.7e-05,SIMULATION
sensitivity_42_30_game_theory_w_throughput_0.5_42,2026-09-01T11:49:21.202265,42,w_throughput,0.5,30,game_theory,100.0,71.0,71.0,0.9547,-0.210404,16.95,1.13,7.4e-05,SIMULATION
sensitivity_42_30_game_theory_w_throughput_0.5_43,2026-09-01T11:49:21.207355,43,w_throughput,0.5,30,game_theory,100.0,71.0,71.0,0.9575,-0.1993,8.54,4.48,0.000198,SIMULATION
sensitivity_42_30_game_theory_w_throughput_0.5_44,2026-09-01T11:49:21.212419,44,w_throughput,0.5,30,game_theory,100.0,72.0,72.0,0.9417,-0.231384,13.72,3.71,0.00011,SIMULATION
sensitivity_42_30_game_theory_w_throughput_0.5_45,2026-09-01T11:49:21.216872,45,w_throughput,0.5,30,game_theory,100.0,71.5,71.5,0.9507,-0.220923,11.81,3.44,8.8e-05,SIMULATION
sensitivity_42_30_game_theory_w_throughput_0.5_46,2026-09-01T11:49:21.222979,46,w_throughput,0.5,30,game_theory,100.0,71.0,71.0,0.9547,-0.256884,20.44,3.0,8.4e-05,SIMULATION
sensitivity_42_50_equal_w_throughput_0.5_42,2026-09-01T11:49:21.223305,42,w_throughput,0.5,50,equal,100.0,100.0,100.0,1.0,-0.40927,16.95,1.13,0.000115,SIMULATION
sensitivity_42_50_equal_w_throughput_0.5_43,2026-09-01T11:49:21.223794,43,w_throughput,0.5,50,equal,100.0,100.0,100.0,1.0,-0.421039,8.54,4.48,0.000163,SIMULATION
sensitivity_42_50_equal_w_throughput_0.5_44,2026-09-01T11:49:21.224177,44,w_throughput,0.5,50,equal,100.0,100.0,100.0,1.0,-0.424417,13.72,3.71,0.000131,SIMULATION
sensitivity_42_50_equal_w_throughput_0.5_45,2026-09-01T11:49:21.224492,45,w_throughput,0.5,50,equal,100.0,100.0,100.0,1.0,-0.417469,11.81,3.44,0.000103,SIMULATION
sensitivity_42_50_equal_w_throughput_0.5_46,2026-09-01T11:49:21.224797,46,w_throughput,0.5,50,equal,100.0,100.0,100.0,1.0,-0.449498,20.44,3.0,9.6e-05,SIMULATION
